text,class_type
"nobody:

NSP: penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis pe",human
"So, if Comey &amp; the top people in the FBI were dirty cops and cheated on the FISA Court, wouldn’t all of these phony cases have to be overturned or dismissed? They went after me with the Fake Dossier, paid for by Crooked Hillary &amp; the DNC, which they illegally presented to FISA...",human
"Mini Mike Bloomberg’s debate performance tonight was perhaps the worst in the history of debates, and there have been some really bad ones. He was stumbling, bumbling and grossly incompetent. If this doesn’t knock him out of the race, nothing will. Not so easy to do what I did!",human
"Preventing open collaboration: ""The loudest, most bombastic engineer states their case with certainty, and that shuts down discussion. Other people either assume the loudmouth knows best, or don’t want to stick out their neck and risk criticism and shame. "" https://t.co/i2TLuR2Eiw",human
"“The network effect is why the regulatory approaches to, say, the auto industry don’t track to the tech industry very well: consumers buy a single car from Ford, not access to an ever-growing ecosystem of cars that gets more valuable with each new user.” https://t.co/26IUbnMLKJ",human
"....The problem is that the so-called Commission on Presidential Debates is stacked with Trump Haters &amp; Never Trumpers. 3 years ago they were forced to publicly apologize for modulating my microphone in the first debate against Crooked Hillary. As President, the debates are up...",human
"We’re also funding four Canadian companies working on what may be breakthrough solutions for COVID-19 rapid testing, and we’re helping a company set up a test kit manufacturing facility in Ontario. We’ll keep working to make sure we have what’s needed to keep you safe.",human
".@TomMcClintock is a strong Conservative Leader who will always fight for the people of California. He fully supports our #MAGA Agenda, will continue to Secure Our Border, Loves our Military &amp; Vets, &amp; is Strong on the #2A. Tom has my Complete Endorsement! https://t.co/QRP3IwTx3Z",human
"Today we announced a new agreement that will help people in Nunavut find good, affordable homes. This is about more than just building and repairing houses – it’s about making a real difference in the lives of people and families in Nunavut. More: https://t.co/oYS0WFYuO7 https://t.co/FHcs7ugRih",human
"As much I believe individuals need a way to control their data usage online, businesses that make money from aggregating, using and selling our data are not going to want this: Tim Berners-Lee Introduces Solid Decentralized Identity Platform https://t.co/qg2Uu3bKcP",human
".@FoxNews “Dems say President Trump is trying to open the United States Economy too quickly”, but, if I took even a little more time, they would loudly chant that I am moving too slowly. Just political talking points for them. For me it’s about lives &amp;  the future of our Country!",human
"Definitely one of the more unusual AWS offerings, but I wonder if there's some opportunity to take advantage of this from an Amateur Radio point of view? Can you ingest signals from other sources? Propagation monitoring? #hamradio https://t.co/rC6V0227WN",human
"During #MannKiBaat last week, I had talked about a book I read and urged you all to share what is on your reading table. 

Am glad people are responding enthusiastically. 

Keep reading and keep sharing on the NaMo App! 

https://t.co/Pu9BXhB8wW https://t.co/rvLqqifDTt",human
